question,volume,suspicion_score,surprise_score,late_move_ratio,price_volatility,max_single_move,total_price_move,price_momentum_6h,price_momentum_12h,new_wallet_ratio,new_wallet_ratio_6h,burst_score,directional_consensus,order_flow_imbalance,wallet_concentration,wallet_age_median_days,cross_market_wallet_flag,label,label_weight,is_confirmed,is_positive,pu_prob,iso_score,ocsvm_score,insider_trading_prob,end_date
Nobel Peace Prize winner 2025?,,,0.345,0.013377926421404692,0.01794312224877278,0.08000000000000007,0.09500000000000003,-0.004500000000000004,-0.010000000000000009,0.0,0.0,0.0,,0.0,,490.0,0.0,SUSPECTED,0.6,False,True,1.0,0.1080354147399746,0.9372956850527963,0.942860907747558,
Will Lady Gaga perform at the Super Bowl LX halftime show?,,,0.345,0.013377926421404692,0.01794312224877278,0.08000000000000007,0.09500000000000003,-0.004500000000000004,-0.010000000000000009,0.0,0.0,2209.0,,0.561530930610715,,490.0,0.0,SUSPECTED,0.6,False,True,1.0,0.014952163248521855,1.0,0.9507476081624262,
Andrew Tate total posts March 10 - March 17?,,,0.345,0.013377926421404692,0.01794312224877278,0.08000000000000007,0.09500000000000003,-0.004500000000000004,-0.010000000000000009,0.0,0.0,2174.0,,0.6464902393595255,,490.0,0.0,SUSPECTED,0.6,False,True,1.0,0.014580334722685955,0.9761399818261849,0.9459570131013714,
"Will OpenAI release a browser by October 31, 2025?",,,0.345,0.013377926421404692,0.01794312224877278,0.08000000000000007,0.09500000000000003,-0.004500000000000004,-0.010000000000000009,0.0,0.0,2741.0,,0.7211666826898071,,490.0,0.0,SUSPECTED,1.0,True,True,1.0,0.022026690620442997,0.9436884571285652,0.9398390259567352,
"Will OpenAI release a new model by December 13, 2025?",,,0.345,0.013377926421404692,0.01794312224877278,0.08000000000000007,0.09500000000000003,-0.004500000000000004,-0.010000000000000009,0.0,0.0,37.0,,0.5198706829332197,,490.0,0.0,SUSPECTED,1.0,True,True,1.0,0.0,0.980240596955721,0.9460481193911442,
Will OpenAI fire an employee for using confidential info on prediction markets?,,,0.345,0.013377926421404692,0.01794312224877278,0.08000000000000007,0.09500000000000003,-0.004500000000000004,-0.010000000000000009,0.0,0.0,3017.0,,0.7825672488437688,,490.0,0.0,CONFIRMED,1.0,True,True,1.0,0.04173158828287282,0.9080338820836009,0.9336933558308638,
Will MrBeast post a video this week? (Kalshi),,,0.345,0.013377926421404692,0.01794312224877278,0.08000000000000007,0.09500000000000003,-0.004500000000000004,-0.010000000000000009,0.0,0.0,2864.0,,0.7325204778992466,,490.0,0.0,CONFIRMED,1.0,True,True,1.0,0.0253855608488865,0.9372956896129256,0.9387284159650295,
Will Kyle Langford be California governor? (Kalshi),,,0.345,0.013377926421404692,0.01794312224877278,0.08000000000000007,0.09500000000000003,-0.004500000000000004,-0.010000000000000009,0.0,0.0,0.0,,0.0,,490.0,0.0,CONFIRMED,1.0,True,True,1.0,0.1080354147399746,0.9372956850527963,0.942860907747558,
Which crypto company will ZachXBT expose for insider trading?,,,0.345,0.013377926421404692,0.01794312224877278,0.08000000000000007,0.09500000000000003,-0.004500000000000004,-0.010000000000000009,0.0,0.0,0.0,,0.0,,490.0,0.0,SUSPECTED,0.6,False,True,1.0,0.1080354147399746,0.9372956850527963,0.942860907747558,
Will Home Depot beat earnings estimates?,,,0.345,0.013377926421404692,0.01794312224877278,0.08000000000000007,0.09500000000000003,-0.004500000000000004,-0.010000000000000009,0.0,0.0,1391.0,,0.7237869402067069,,490.0,0.0,POSSIBLE,0.3,False,True,1.0,0.024505233483038204,0.9347891402024415,0.9381830897146403,
Will Google release Gemini 3 in November 2025?,,,0.345,0.013377926421404692,0.01794312224877278,0.08000000000000007,0.09500000000000003,-0.004500000000000004,-0.010000000000000009,0.0,0.0,7458.0,,0.7903476451207153,,490.0,0.0,POSSIBLE,0.3,False,True,1.0,0.10027671957832222,0.7349111701604291,0.9019960700110019,
"Will Russia capture Myrnohrad by November 15, 2025?",,,0.345,0.013377926421404692,0.01794312224877278,0.08000000000000007,0.09500000000000003,-0.004500000000000004,-0.010000000000000009,0.07375182934965525,0.028241011093866796,243.0,,0.5667151524839829,,490.0,0.0,CONFIRMED,1.0,True,True,1.0,0.056356012815307256,0.945365411426586,0.9418908829260826,
Who is the most streamed artist on Spotify 2025?,,,0.345,0.013377926421404692,0.01794312224877278,0.08000000000000007,0.09500000000000003,-0.004500000000000004,-0.010000000000000009,0.157146684253962,0.028427935981884436,2325.0,,0.8879791302957882,,490.0,0.0,POSSIBLE,0.3,False,True,1.0,0.19978065340546933,0.7379452914172435,0.9075780909537222,
Will Seguro win the Portugal presidential election?,,,0.345,0.013377926421404692,0.01794312224877278,0.08000000000000007,0.09500000000000003,-0.004500000000000004,-0.010000000000000009,0.0,0.0,0.0,,0.0,,490.0,0.0,POSSIBLE,0.3,False,True,1.0,0.1080354147399746,0.9372956850527963,0.942860907747558,
"Monad airdrop by October 31, 2025?",,,0.345,0.013377926421404692,0.01794312224877278,0.08000000000000007,0.09500000000000003,-0.004500000000000004,-0.010000000000000009,0.0,0.0,4401.0,,0.6191542709408245,,490.0,0.0,POSSIBLE,0.3,False,True,1.0,0.025722192738077757,0.9440894566921316,0.9401040009753302,
Will Trump win the 2024 Presidential Election?,,,0.345,0.013377926421404692,0.01794312224877278,0.08000000000000007,0.09500000000000003,-0.004500000000000004,-0.010000000000000009,0.0,0.0,28488.0,,0.38680498785576406,,490.0,0.0,POSSIBLE,0.3,False,True,1.0,0.3670365820634607,0.0020862027983277894,0.7687690696628385,
Will Coinbase CEO Brian Armstrong say Bitcoin on the Q3 2025 earnings call?,,,0.345,0.013377926421404692,0.01794312224877278,0.08000000000000007,0.09500000000000003,-0.004500000000000004,-0.010000000000000009,0.0,0.0,30.0,,0.9013479405960952,,490.0,0.0,POSSIBLE,0.3,False,True,1.0,0.07282732995902381,0.7691882251971321,0.9074790115373776,
